id;code unit;unit_id;kode kegiatan;kegiatan;cost_type;name;kode
;11.11;Prodi Teknik Sipil (S1);1.01.08;Pengisian KRS oleh mhs;Outsource;Outsourcing;650.1.1.01.08.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.08;Pengisian KRS oleh mhs;Overhead;Overhead;650.1.1.01.08.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.09;Daftar peserta kelas & presensi/mhs/kuliah;Biaya Habis Pakai;Bahan habis pakai;650.1.1.01.09.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.09;Daftar peserta kelas & presensi/mhs/kuliah;Honor;Honor/Upah;650.1.1.01.09.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.09;Daftar peserta kelas & presensi/mhs/kuliah;Sewa;Sewa;650.1.1.01.09.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.09;Daftar peserta kelas & presensi/mhs/kuliah;Outsource;Outsourcing;650.1.1.01.09.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.09;Daftar peserta kelas & presensi/mhs/kuliah;Overhead;Overhead;650.1.1.01.09.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.10;Daftar hadir dosen/mata kuliah;Biaya Habis Pakai;Bahan habis pakai;650.1.1.01.10.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.10;Daftar hadir dosen/mata kuliah;Honor;Honor/Upah;650.1.1.01.10.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.10;Daftar hadir dosen/mata kuliah;Sewa;Sewa;650.1.1.01.10.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.10;Daftar hadir dosen/mata kuliah;Outsource;Outsourcing;650.1.1.01.10.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.10;Daftar hadir dosen/mata kuliah;Overhead;Overhead;650.1.1.01.10.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.01;Lembar penyetaraan;Biaya Habis Pakai;Bahan habis pakai;650.1.1.02.01.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.01;Lembar penyetaraan;Honor;Honor/Upah;650.1.1.02.01.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.01;Lembar penyetaraan;Sewa;Sewa;650.1.1.02.01.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.01;Lembar penyetaraan;Outsource;Outsourcing;650.1.1.02.01.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.01;Lembar penyetaraan;Overhead;Overhead;650.1.1.02.01.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.02;Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu;Biaya Habis Pakai;Bahan habis pakai;650.1.1.02.02.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.02;Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu;Honor;Honor/Upah;650.1.1.02.02.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.02;Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu;Sewa;Sewa;650.1.1.02.02.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.02;Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu;Outsource;Outsourcing;650.1.1.02.02.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.02;Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu;Overhead;Overhead;650.1.1.02.02.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.03;Ketersediaan rancangan praktikum;Biaya Habis Pakai;Bahan habis pakai;650.1.1.02.03.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.03;Ketersediaan rancangan praktikum;Honor;Honor/Upah;650.1.1.02.03.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.03;Ketersediaan rancangan praktikum;Sewa;Sewa;650.1.1.02.03.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.03;Ketersediaan rancangan praktikum;Outsource;Outsourcing;650.1.1.02.03.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.03;Ketersediaan rancangan praktikum;Overhead;Overhead;650.1.1.02.03.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.04;Jadwal praktikum;Biaya Habis Pakai;Bahan habis pakai;650.1.1.02.04.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.04;Jadwal praktikum;Honor;Honor/Upah;650.1.1.02.04.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.04;Jadwal praktikum;Sewa;Sewa;650.1.1.02.04.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.04;Jadwal praktikum;Outsource;Outsourcing;650.1.1.02.04.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.04;Jadwal praktikum;Overhead;Overhead;650.1.1.02.04.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.05;Modul / alat praktikum;Biaya Habis Pakai;Bahan habis pakai;650.1.1.02.05.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.05;Modul / alat praktikum;Honor;Honor/Upah;650.1.1.02.05.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.05;Modul / alat praktikum;Sewa;Sewa;650.1.1.02.05.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.05;Modul / alat praktikum;Outsource;Outsourcing;650.1.1.02.05.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.05;Modul / alat praktikum;Overhead;Overhead;650.1.1.02.05.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.06;Bahan habis pakai;Biaya Habis Pakai;Bahan habis pakai;650.1.1.02.06.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.06;Bahan habis pakai;Honor;Honor/Upah;650.1.1.02.06.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.06;Bahan habis pakai;Sewa;Sewa;650.1.1.02.06.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.06;Bahan habis pakai;Outsource;Outsourcing;650.1.1.02.06.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.06;Bahan habis pakai;Overhead;Overhead;650.1.1.02.06.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.07;Dana praktikum;Biaya Habis Pakai;Bahan habis pakai;650.1.1.02.07.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.07;Dana praktikum;Honor;Honor/Upah;650.1.1.02.07.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.07;Dana praktikum;Sewa;Sewa;650.1.1.02.07.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.07;Dana praktikum;Outsource;Outsourcing;650.1.1.02.07.4.11.11
