id;code unit;unit_id;kode kegiatan;kegiatan;cost_type;name;kode
;11.11;Prodi Teknik Sipil (S1);1.07.01;Tersediaan sarana & prasarana ujian;Biaya Habis Pakai;Bahan habis pakai;650.1.1.07.01.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.01;Tersediaan sarana & prasarana ujian;Honor;Honor/Upah;650.1.1.07.01.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.01;Tersediaan sarana & prasarana ujian;Sewa;Sewa;650.1.1.07.01.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.01;Tersediaan sarana & prasarana ujian;Outsource;Outsourcing;650.1.1.07.01.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.01;Tersediaan sarana & prasarana ujian;Overhead;Overhead;650.1.1.07.01.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.02;Jadual ujian;Biaya Habis Pakai;Bahan habis pakai;650.1.1.07.02.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.02;Jadual ujian;Honor;Honor/Upah;650.1.1.07.02.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.02;Jadual ujian;Sewa;Sewa;650.1.1.07.02.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.02;Jadual ujian;Outsource;Outsourcing;650.1.1.07.02.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.02;Jadual ujian;Overhead;Overhead;650.1.1.07.02.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.03;KPU;Biaya Habis Pakai;Bahan habis pakai;650.1.1.07.03.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.03;KPU;Honor;Honor/Upah;650.1.1.07.03.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.03;KPU;Sewa;Sewa;650.1.1.07.03.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.03;KPU;Outsource;Outsourcing;650.1.1.07.03.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.03;KPU;Overhead;Overhead;650.1.1.07.03.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.04;Naskah ujian & lembar jawab;Biaya Habis Pakai;Bahan habis pakai;650.1.1.07.04.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.04;Naskah ujian & lembar jawab;Honor;Honor/Upah;650.1.1.07.04.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.04;Naskah ujian & lembar jawab;Sewa;Sewa;650.1.1.07.04.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.04;Naskah ujian & lembar jawab;Outsource;Outsourcing;650.1.1.07.04.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.04;Naskah ujian & lembar jawab;Overhead;Overhead;650.1.1.07.04.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.05;Daftar hadir & daftar nilai peserta ujian;Biaya Habis Pakai;Bahan habis pakai;650.1.1.07.05.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.05;Daftar hadir & daftar nilai peserta ujian;Honor;Honor/Upah;650.1.1.07.05.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.05;Daftar hadir & daftar nilai peserta ujian;Sewa;Sewa;650.1.1.07.05.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.05;Daftar hadir & daftar nilai peserta ujian;Outsource;Outsourcing;650.1.1.07.05.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.05;Daftar hadir & daftar nilai peserta ujian;Overhead;Overhead;650.1.1.07.05.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.06;Nilai akhir;Biaya Habis Pakai;Bahan habis pakai;650.1.1.07.06.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.06;Nilai akhir;Honor;Honor/Upah;650.1.1.07.06.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.06;Nilai akhir;Sewa;Sewa;650.1.1.07.06.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.06;Nilai akhir;Outsource;Outsourcing;650.1.1.07.06.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.06;Nilai akhir;Overhead;Overhead;650.1.1.07.06.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.07;Vakasi ujian;Biaya Habis Pakai;Bahan habis pakai;650.1.1.07.07.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.07;Vakasi ujian;Honor;Honor/Upah;650.1.1.07.07.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.07;Vakasi ujian;Sewa;Sewa;650.1.1.07.07.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.07;Vakasi ujian;Outsource;Outsourcing;650.1.1.07.07.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.07.07;Vakasi ujian;Overhead;Overhead;650.1.1.07.07.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.08.01;Tersedia perush tempat mhs praktek;Biaya Habis Pakai;Bahan habis pakai;650.1.1.08.01.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.08.01;Tersedia perush tempat mhs praktek;Honor;Honor/Upah;650.1.1.08.01.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.08.01;Tersedia perush tempat mhs praktek;Sewa;Sewa;650.1.1.08.01.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.08.01;Tersedia perush tempat mhs praktek;Outsource;Outsourcing;650.1.1.08.01.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.08.01;Tersedia perush tempat mhs praktek;Overhead;Overhead;650.1.1.08.01.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.01;Jumlah IPK/IPS <2;Biaya Habis Pakai;Bahan habis pakai;650.1.1.09.01.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.01;Jumlah IPK/IPS <2;Honor;Honor/Upah;650.1.1.09.01.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.01;Jumlah IPK/IPS <2;Sewa;Sewa;650.1.1.09.01.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.01;Jumlah IPK/IPS <2;Outsource;Outsourcing;650.1.1.09.01.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.01;Jumlah IPK/IPS <2;Overhead;Overhead;650.1.1.09.01.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.02;Jumlah IPK/IPS 2,02,5;Biaya Habis Pakai;Bahan habis pakai;650.1.1.09.02.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.02;Jumlah IPK/IPS 2,02,5;Honor;Honor/Upah;650.1.1.09.02.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.02;Jumlah IPK/IPS 2,02,5;Sewa;Sewa;650.1.1.09.02.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.02;Jumlah IPK/IPS 2,02,5;Outsource;Outsourcing;650.1.1.09.02.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.02;Jumlah IPK/IPS 2,02,5;Overhead;Overhead;650.1.1.09.02.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.03;Jumlah IPK/IPS 2,53,0;Biaya Habis Pakai;Bahan habis pakai;650.1.1.09.03.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.03;Jumlah IPK/IPS 2,53,0;Honor;Honor/Upah;650.1.1.09.03.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.03;Jumlah IPK/IPS 2,53,0;Sewa;Sewa;650.1.1.09.03.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.03;Jumlah IPK/IPS 2,53,0;Outsource;Outsourcing;650.1.1.09.03.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.03;Jumlah IPK/IPS 2,53,0;Overhead;Overhead;650.1.1.09.03.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.04;Jumlah IPK/IPS 3,04,0;Biaya Habis Pakai;Bahan habis pakai;650.1.1.09.04.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.04;Jumlah IPK/IPS 3,04,0;Honor;Honor/Upah;650.1.1.09.04.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.04;Jumlah IPK/IPS 3,04,0;Sewa;Sewa;650.1.1.09.04.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.04;Jumlah IPK/IPS 3,04,0;Outsource;Outsourcing;650.1.1.09.04.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.04;Jumlah IPK/IPS 3,04,0;Overhead;Overhead;650.1.1.09.04.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.05;Segmentasi status akademik mhs berdasar perolehan SKS;Biaya Habis Pakai;Bahan habis pakai;650.1.1.09.05.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.05;Segmentasi status akademik mhs berdasar perolehan SKS;Honor;Honor/Upah;650.1.1.09.05.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.05;Segmentasi status akademik mhs berdasar perolehan SKS;Sewa;Sewa;650.1.1.09.05.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.05;Segmentasi status akademik mhs berdasar perolehan SKS;Outsource;Outsourcing;650.1.1.09.05.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.09.05;Segmentasi status akademik mhs berdasar perolehan SKS;Overhead;Overhead;650.1.1.09.05.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.10.01;Ketepatan waktu mulai;Biaya Habis Pakai;Bahan habis pakai;650.1.1.10.01.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.10.01;Ketepatan waktu mulai;Honor;Honor/Upah;650.1.1.10.01.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.10.01;Ketepatan waktu mulai;Sewa;Sewa;650.1.1.10.01.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.10.01;Ketepatan waktu mulai;Outsource;Outsourcing;650.1.1.10.01.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.10.01;Ketepatan waktu mulai;Overhead;Overhead;650.1.1.10.01.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.10.02;Ketepatan waktu selesai;Biaya Habis Pakai;Bahan habis pakai;650.1.1.10.02.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.10.02;Ketepatan waktu selesai;Honor;Honor/Upah;650.1.1.10.02.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.10.02;Ketepatan waktu selesai;Sewa;Sewa;650.1.1.10.02.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.10.02;Ketepatan waktu selesai;Outsource;Outsourcing;650.1.1.10.02.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.10.02;Ketepatan waktu selesai;Overhead;Overhead;650.1.1.10.02.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.11.01;Jadual ujian skripsi;Biaya Habis Pakai;Bahan habis pakai;650.1.1.11.01.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.11.01;Jadual ujian skripsi;Honor;Honor/Upah;650.1.1.11.01.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.11.01;Jadual ujian skripsi;Sewa;Sewa;650.1.1.11.01.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.11.01;Jadual ujian skripsi;Outsource;Outsourcing;650.1.1.11.01.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.11.01;Jadual ujian skripsi;Overhead;Overhead;650.1.1.11.01.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.11.02;Kehadiran pembimbing & penguji;Biaya Habis Pakai;Bahan habis pakai;650.1.1.11.02.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.11.02;Kehadiran pembimbing & penguji;Honor;Honor/Upah;650.1.1.11.02.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.11.02;Kehadiran pembimbing & penguji;Sewa;Sewa;650.1.1.11.02.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.11.02;Kehadiran pembimbing & penguji;Outsource;Outsourcing;650.1.1.11.02.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.11.02;Kehadiran pembimbing & penguji;Overhead;Overhead;650.1.1.11.02.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.11.03;Jumlah mhs yg lulus;Biaya Habis Pakai;Bahan habis pakai;650.1.1.11.03.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.11.03;Jumlah mhs yg lulus;Honor;Honor/Upah;650.1.1.11.03.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.11.03;Jumlah mhs yg lulus;Sewa;Sewa;650.1.1.11.03.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.11.03;Jumlah mhs yg lulus;Outsource;Outsourcing;650.1.1.11.03.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.11.03;Jumlah mhs yg lulus;Overhead;Overhead;650.1.1.11.03.5.11.11
;11.11;Prodi Teknik Sipil (S1);2.01.01;Persiapan draft RIP & study banding;Biaya Habis Pakai;Bahan habis pakai;650.1.2.01.01.1.11.11
;11.11;Prodi Teknik Sipil (S1);2.01.01;Persiapan draft RIP & study banding;Honor;Honor/Upah;650.1.2.01.01.2.11.11
;11.11;Prodi Teknik Sipil (S1);2.01.01;Persiapan draft RIP & study banding;Sewa;Sewa;650.1.2.01.01.3.11.11
;11.11;Prodi Teknik Sipil (S1);2.01.01;Persiapan draft RIP & study banding;Outsource;Outsourcing;650.1.2.01.01.4.11.11
;11.11;Prodi Teknik Sipil (S1);2.01.01;Persiapan draft RIP & study banding;Overhead;Overhead;650.1.2.01.01.5.11.11
;11.11;Prodi Teknik Sipil (S1);2.01.02;Pengumpulan data dari unit terkait;Biaya Habis Pakai;Bahan habis pakai;650.1.2.01.02.1.11.11
;11.11;Prodi Teknik Sipil (S1);2.01.02;Pengumpulan data dari unit terkait;Honor;Honor/Upah;650.1.2.01.02.2.11.11
;11.11;Prodi Teknik Sipil (S1);2.01.02;Pengumpulan data dari unit terkait;Sewa;Sewa;650.1.2.01.02.3.11.11
;11.11;Prodi Teknik Sipil (S1);2.01.02;Pengumpulan data dari unit terkait;Outsource;Outsourcing;650.1.2.01.02.4.11.11
;11.11;Prodi Teknik Sipil (S1);2.01.02;Pengumpulan data dari unit terkait;Overhead;Overhead;650.1.2.01.02.5.11.11
;11.11;Prodi Teknik Sipil (S1);2.01.03;Rapat pendahuluan SC & OC;Biaya Habis Pakai;Bahan habis pakai;650.1.2.01.03.1.11.11
;11.11;Prodi Teknik Sipil (S1);2.01.03;Rapat pendahuluan SC & OC;Honor;Honor/Upah;650.1.2.01.03.2.11.11
;11.11;Prodi Teknik Sipil (S1);2.01.03;Rapat pendahuluan SC & OC;Sewa;Sewa;650.1.2.01.03.3.11.11
;11.11;Prodi Teknik Sipil (S1);2.01.03;Rapat pendahuluan SC & OC;Outsource;Outsourcing;650.1.2.01.03.4.11.11
;11.11;Prodi Teknik Sipil (S1);2.01.03;Rapat pendahuluan SC & OC;Overhead;Overhead;650.1.2.01.03.5.11.11
;11.11;Prodi Teknik Sipil (S1);2.01.04;Raker penyususnan RIP, Panduan dan SOP;Biaya Habis Pakai;Bahan habis pakai;650.1.2.01.04.1.11.11
;11.11;Prodi Teknik Sipil (S1);2.01.04;Raker penyususnan RIP, Panduan dan SOP;Honor;Honor/Upah;650.1.2.01.04.2.11.11
;11.11;Prodi Teknik Sipil (S1);2.01.04;Raker penyususnan RIP, Panduan dan SOP;Sewa;Sewa;650.1.2.01.04.3.11.11
;11.11;Prodi Teknik Sipil (S1);2.01.04;Raker penyususnan RIP, Panduan dan SOP;Outsource;Outsourcing;650.1.2.01.04.4.11.11
;11.11;Prodi Teknik Sipil (S1);2.01.04;Raker penyususnan RIP, Panduan dan SOP;Overhead;Overhead;650.1.2.01.04.5.11.11
;11.11;Prodi Teknik Sipil (S1);2.02.01;Penyusunan panduan penelitian sesuai panduan Dikti;Biaya Habis Pakai;Bahan habis pakai;650.1.2.02.01.1.11.11
;11.11;Prodi Teknik Sipil (S1);2.02.01;Penyusunan panduan penelitian sesuai panduan Dikti;Honor;Honor/Upah;650.1.2.02.01.2.11.11
;11.11;Prodi Teknik Sipil (S1);2.02.01;Penyusunan panduan penelitian sesuai panduan Dikti;Sewa;Sewa;650.1.2.02.01.3.11.11
;11.11;Prodi Teknik Sipil (S1);2.02.01;Penyusunan panduan penelitian sesuai panduan Dikti;Outsource;Outsourcing;650.1.2.02.01.4.11.11
;11.11;Prodi Teknik Sipil (S1);2.02.01;Penyusunan panduan penelitian sesuai panduan Dikti;Overhead;Overhead;650.1.2.02.01.5.11.11
;11.11;Prodi Teknik Sipil (S1);2.02.02;Rapat koordinasi;Biaya Habis Pakai;Bahan habis pakai;650.1.2.02.02.1.11.11
;11.11;Prodi Teknik Sipil (S1);2.02.02;Rapat koordinasi;Honor;Honor/Upah;650.1.2.02.02.2.11.11
;11.11;Prodi Teknik Sipil (S1);2.02.02;Rapat koordinasi;Sewa;Sewa;650.1.2.02.02.3.11.11
;11.11;Prodi Teknik Sipil (S1);2.02.02;Rapat koordinasi;Outsource;Outsourcing;650.1.2.02.02.4.11.11
;11.11;Prodi Teknik Sipil (S1);2.02.02;Rapat koordinasi;Overhead;Overhead;650.1.2.02.02.5.11.11
;11.11;Prodi Teknik Sipil (S1);2.02.03;Sosialisasi program PP;Biaya Habis Pakai;Bahan habis pakai;650.1.2.02.03.1.11.11
;11.11;Prodi Teknik Sipil (S1);2.02.03;Sosialisasi program PP;Honor;Honor/Upah;650.1.2.02.03.2.11.11
;11.11;Prodi Teknik Sipil (S1);2.02.03;Sosialisasi program PP;Sewa;Sewa;650.1.2.02.03.3.11.11
;11.11;Prodi Teknik Sipil (S1);2.02.03;Sosialisasi program PP;Outsource;Outsourcing;650.1.2.02.03.4.11.11
;11.11;Prodi Teknik Sipil (S1);2.02.03;Sosialisasi program PP;Overhead;Overhead;650.1.2.02.03.5.11.11
;11.11;Prodi Teknik Sipil (S1);2.02.04;Penyusunan Company Profile;Biaya Habis Pakai;Bahan habis pakai;650.1.2.02.04.1.11.11
;11.11;Prodi Teknik Sipil (S1);2.02.04;Penyusunan Company Profile;Honor;Honor/Upah;650.1.2.02.04.2.11.11
;11.11;Prodi Teknik Sipil (S1);2.02.04;Penyusunan Company Profile;Sewa;Sewa;650.1.2.02.04.3.11.11
;11.11;Prodi Teknik Sipil (S1);2.02.04;Penyusunan Company Profile;Outsource;Outsourcing;650.1.2.02.04.4.11.11
;11.11;Prodi Teknik Sipil (S1);2.02.04;Penyusunan Company Profile;Overhead;Overhead;650.1.2.02.04.5.11.11
;11.11;Prodi Teknik Sipil (S1);2.03.01;Pelatihan pembuatan proposal Penelitian;Biaya Habis Pakai;Bahan habis pakai;650.1.2.03.01.1.11.11
;11.11;Prodi Teknik Sipil (S1);2.03.01;Pelatihan pembuatan proposal Penelitian;Honor;Honor/Upah;650.1.2.03.01.2.11.11
;11.11;Prodi Teknik Sipil (S1);2.03.01;Pelatihan pembuatan proposal Penelitian;Sewa;Sewa;650.1.2.03.01.3.11.11
;11.11;Prodi Teknik Sipil (S1);2.03.01;Pelatihan pembuatan proposal Penelitian;Outsource;Outsourcing;650.1.2.03.01.4.11.11
;11.11;Prodi Teknik Sipil (S1);2.03.01;Pelatihan pembuatan proposal Penelitian;Overhead;Overhead;650.1.2.03.01.5.11.11
;11.11;Prodi Teknik Sipil (S1);2.03.10;Pelatihan jurnal ilmiah sesuai saintech bagi dosen;Biaya Habis Pakai;Bahan habis pakai;650.1.2.03.10.1.11.11
;11.11;Prodi Teknik Sipil (S1);2.03.10;Pelatihan jurnal ilmiah sesuai saintech bagi dosen;Honor;Honor/Upah;650.1.2.03.10.2.11.11
;11.11;Prodi Teknik Sipil (S1);2.03.10;Pelatihan jurnal ilmiah sesuai saintech bagi dosen;Sewa;Sewa;650.1.2.03.10.3.11.11
;11.11;Prodi Teknik Sipil (S1);2.03.10;Pelatihan jurnal ilmiah sesuai saintech bagi dosen;Outsource;Outsourcing;650.1.2.03.10.4.11.11
;11.11;Prodi Teknik Sipil (S1);2.03.10;Pelatihan jurnal ilmiah sesuai saintech bagi dosen;Overhead;Overhead;650.1.2.03.10.5.11.11
;11.11;Prodi Teknik Sipil (S1);2.04.01;Seminar IPTEK regulair;Biaya Habis Pakai;Bahan habis pakai;650.1.2.04.01.1.11.11
;11.11;Prodi Teknik Sipil (S1);2.04.01;Seminar IPTEK regulair;Honor;Honor/Upah;650.1.2.04.01.2.11.11
;11.11;Prodi Teknik Sipil (S1);2.04.01;Seminar IPTEK regulair;Sewa;Sewa;650.1.2.04.01.3.11.11
;11.11;Prodi Teknik Sipil (S1);2.04.01;Seminar IPTEK regulair;Outsource;Outsourcing;650.1.2.04.01.4.11.11
;11.11;Prodi Teknik Sipil (S1);2.04.01;Seminar IPTEK regulair;Overhead;Overhead;650.1.2.04.01.5.11.11
;11.11;Prodi Teknik Sipil (S1);2.05.02;Presentasi seminar ilmiah dosen;Biaya Habis Pakai;Bahan habis pakai;650.1.2.05.02.1.11.11
;11.11;Prodi Teknik Sipil (S1);2.05.02;Presentasi seminar ilmiah dosen;Honor;Honor/Upah;650.1.2.05.02.2.11.11
;11.11;Prodi Teknik Sipil (S1);2.05.02;Presentasi seminar ilmiah dosen;Sewa;Sewa;650.1.2.05.02.3.11.11
;11.11;Prodi Teknik Sipil (S1);2.05.02;Presentasi seminar ilmiah dosen;Outsource;Outsourcing;650.1.2.05.02.4.11.11
;11.11;Prodi Teknik Sipil (S1);2.05.02;Presentasi seminar ilmiah dosen;Overhead;Overhead;650.1.2.05.02.5.11.11
;11.11;Prodi Teknik Sipil (S1);2.04.03;Seminar dan workshop nasional;Biaya Habis Pakai;Bahan habis pakai;650.1.2.04.03.1.11.11
;11.11;Prodi Teknik Sipil (S1);2.04.03;Seminar dan workshop nasional;Honor;Honor/Upah;650.1.2.04.03.2.11.11
;11.11;Prodi Teknik Sipil (S1);2.04.03;Seminar dan workshop nasional;Sewa;Sewa;650.1.2.04.03.3.11.11
;11.11;Prodi Teknik Sipil (S1);2.04.03;Seminar dan workshop nasional;Outsource;Outsourcing;650.1.2.04.03.4.11.11
;11.11;Prodi Teknik Sipil (S1);2.04.03;Seminar dan workshop nasional;Overhead;Overhead;650.1.2.04.03.5.11.11
;11.11;Prodi Teknik Sipil (S1);2.05.01;Stimulan penelitian bagi dosen;Biaya Habis Pakai;Bahan habis pakai;650.1.2.05.01.1.11.11
;11.11;Prodi Teknik Sipil (S1);2.05.01;Stimulan penelitian bagi dosen;Honor;Honor/Upah;650.1.2.05.01.2.11.11
;11.11;Prodi Teknik Sipil (S1);2.05.01;Stimulan penelitian bagi dosen;Sewa;Sewa;650.1.2.05.01.3.11.11
;11.11;Prodi Teknik Sipil (S1);2.05.01;Stimulan penelitian bagi dosen;Outsource;Outsourcing;650.1.2.05.01.4.11.11
;11.11;Prodi Teknik Sipil (S1);2.05.01;Stimulan penelitian bagi dosen;Overhead;Overhead;650.1.2.05.01.5.11.11
;11.11;Prodi Teknik Sipil (S1);3.01.01;Penyusunan panduan penelitian, pengabdian & kewirausahaan;Biaya Habis Pakai;Bahan habis pakai;650.1.3.01.01.1.11.11
;11.11;Prodi Teknik Sipil (S1);3.01.01;Penyusunan panduan penelitian, pengabdian & kewirausahaan;Honor;Honor/Upah;650.1.3.01.01.2.11.11
;11.11;Prodi Teknik Sipil (S1);3.01.01;Penyusunan panduan penelitian, pengabdian & kewirausahaan;Sewa;Sewa;650.1.3.01.01.3.11.11
;11.11;Prodi Teknik Sipil (S1);3.01.01;Penyusunan panduan penelitian, pengabdian & kewirausahaan;Outsource;Outsourcing;650.1.3.01.01.4.11.11
;11.11;Prodi Teknik Sipil (S1);3.01.01;Penyusunan panduan penelitian, pengabdian & kewirausahaan;Overhead;Overhead;650.1.3.01.01.5.11.11
;11.11;Prodi Teknik Sipil (S1);3.01.02;Penyusunan peraturan & silabi pelatihan bagi masyarakat;Biaya Habis Pakai;Bahan habis pakai;650.1.3.01.02.1.11.11
;11.11;Prodi Teknik Sipil (S1);3.01.02;Penyusunan peraturan & silabi pelatihan bagi masyarakat;Honor;Honor/Upah;650.1.3.01.02.2.11.11
;11.11;Prodi Teknik Sipil (S1);3.01.02;Penyusunan peraturan & silabi pelatihan bagi masyarakat;Sewa;Sewa;650.1.3.01.02.3.11.11
;11.11;Prodi Teknik Sipil (S1);3.01.02;Penyusunan peraturan & silabi pelatihan bagi masyarakat;Outsource;Outsourcing;650.1.3.01.02.4.11.11
;11.11;Prodi Teknik Sipil (S1);3.01.02;Penyusunan peraturan & silabi pelatihan bagi masyarakat;Overhead;Overhead;650.1.3.01.02.5.11.11
;11.11;Prodi Teknik Sipil (S1);3.02.01;Pelatihan pemuatan proposal pengabdian masyarakat;Biaya Habis Pakai;Bahan habis pakai;650.1.3.02.01.1.11.11
;11.11;Prodi Teknik Sipil (S1);3.02.01;Pelatihan pemuatan proposal pengabdian masyarakat;Honor;Honor/Upah;650.1.3.02.01.2.11.11
;11.11;Prodi Teknik Sipil (S1);3.02.01;Pelatihan pemuatan proposal pengabdian masyarakat;Sewa;Sewa;650.1.3.02.01.3.11.11
;11.11;Prodi Teknik Sipil (S1);3.02.01;Pelatihan pemuatan proposal pengabdian masyarakat;Outsource;Outsourcing;650.1.3.02.01.4.11.11
;11.11;Prodi Teknik Sipil (S1);3.02.01;Pelatihan pemuatan proposal pengabdian masyarakat;Overhead;Overhead;650.1.3.02.01.5.11.11
;11.11;Prodi Teknik Sipil (S1);3.03.01;Pelatihan penulisan karya ilmiah bagi mhs;Biaya Habis Pakai;Bahan habis pakai;650.1.3.03.01.1.11.11
;11.11;Prodi Teknik Sipil (S1);3.03.01;Pelatihan penulisan karya ilmiah bagi mhs;Honor;Honor/Upah;650.1.3.03.01.2.11.11
;11.11;Prodi Teknik Sipil (S1);3.03.01;Pelatihan penulisan karya ilmiah bagi mhs;Sewa;Sewa;650.1.3.03.01.3.11.11
;11.11;Prodi Teknik Sipil (S1);3.03.01;Pelatihan penulisan karya ilmiah bagi mhs;Outsource;Outsourcing;650.1.3.03.01.4.11.11
;11.11;Prodi Teknik Sipil (S1);3.03.01;Pelatihan penulisan karya ilmiah bagi mhs;Overhead;Overhead;650.1.3.03.01.5.11.11
;11.11;Prodi Teknik Sipil (S1);3.03.02;Pelatiahan kewirausahaan mhs;Biaya Habis Pakai;Bahan habis pakai;650.1.3.03.02.1.11.11
;11.11;Prodi Teknik Sipil (S1);3.03.02;Pelatiahan kewirausahaan mhs;Honor;Honor/Upah;650.1.3.03.02.2.11.11
;11.11;Prodi Teknik Sipil (S1);3.03.02;Pelatiahan kewirausahaan mhs;Sewa;Sewa;650.1.3.03.02.3.11.11
;11.11;Prodi Teknik Sipil (S1);3.03.02;Pelatiahan kewirausahaan mhs;Outsource;Outsourcing;650.1.3.03.02.4.11.11
;11.11;Prodi Teknik Sipil (S1);3.03.02;Pelatiahan kewirausahaan mhs;Overhead;Overhead;650.1.3.03.02.5.11.11
;11.11;Prodi Teknik Sipil (S1);3.04.01;Pelatiahan kewirausahaan pemuda karang taruna;Biaya Habis Pakai;Bahan habis pakai;650.1.3.04.01.1.11.11
;11.11;Prodi Teknik Sipil (S1);3.04.01;Pelatiahan kewirausahaan pemuda karang taruna;Honor;Honor/Upah;650.1.3.04.01.2.11.11
;11.11;Prodi Teknik Sipil (S1);3.04.01;Pelatiahan kewirausahaan pemuda karang taruna;Sewa;Sewa;650.1.3.04.01.3.11.11
;11.11;Prodi Teknik Sipil (S1);3.04.01;Pelatiahan kewirausahaan pemuda karang taruna;Outsource;Outsourcing;650.1.3.04.01.4.11.11
;11.11;Prodi Teknik Sipil (S1);3.04.01;Pelatiahan kewirausahaan pemuda karang taruna;Overhead;Overhead;650.1.3.04.01.5.11.11
